name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
copenhagen,2007-01-11,7,4.1,5.7,2.5,-2,0.7,3.3,84.5,6.648,100,41.67,rain,0,0,61.2,46.7,245.3,994.7,83.6,11.2,,,,,2007-01-11T08:33:35,2007-01-11T16:01:50,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-12,10,7,7.6,10,1.2,3,4.7,81.9,3.138,100,33.33,rain,0,0,,56.7,274.2,996,79.4,9.7,,,,,2007-01-12T08:32:42,2007-01-12T16:03:32,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-13,11,6.1,9,11,3.2,6.1,6,81.8,0.624,100,20.83,rain,0,0,,51.4,269.1,1003.8,83.7,10.5,,,,,2007-01-13T08:31:45,2007-01-13T16:05:16,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-14,9,5.1,7.4,4.9,-0.8,2.1,3.8,78.9,1.491,100,25,rain,0,0,92.5,67.6,267.6,1006,67.6,10.9,,,,,2007-01-14T08:30:45,2007-01-14T16:07:02,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-15,8,6.2,7.1,3.9,1.9,2.8,4.9,85.7,0.057,100,4.17,rain,0,0,63,41,248.6,1016.6,86.3,11.1,,,,,2007-01-15T08:29:41,2007-01-15T16:08:50,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-16,7,4.9,6.3,4.7,-0.3,2.4,4.5,88.4,1.003,100,16.67,rain,0,0,,37.2,239.7,1011.4,89.5,9.8,,,,,2007-01-16T08:28:34,2007-01-16T16:10:40,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-17,8.1,4.9,6.9,4.6,2.2,3.5,6,94,6.865,100,41.67,rain,0,0,,37.9,206.2,1004.7,95.1,7.2,,,,,2007-01-17T08:27:24,2007-01-17T16:12:32,0.95,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-18,7.9,3.2,5.6,4.2,-2.8,0.9,3.5,86.8,7.284,100,25,rain,0,0,,52.4,232.4,984.7,84.7,10.5,,,,,2007-01-18T08:26:10,2007-01-18T16:14:26,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-19,7,4,5.8,2.7,-0.1,1.3,2.9,81.9,4.324,100,8.33,rain,0,0,,36,291.5,993.6,61.2,12.7,,,,,2007-01-19T08:24:53,2007-01-19T16:16:21,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-20,9.1,2.2,5.6,5.8,-1.4,1.2,3.8,88.6,18.041,100,41.67,rain,0,0,,58.8,231.5,998.6,77.6,9.8,,,,,2007-01-20T08:23:34,2007-01-20T16:18:18,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-21,6.1,2.1,4.6,0.3,-2.3,-0.7,2.3,85.8,2.388,100,29.17,rain,0,0,74.2,49.1,258,993.2,74.7,12.6,,,,,2007-01-21T08:22:11,2007-01-21T16:20:17,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-22,2,-3.3,-0.5,0.5,-10.3,-5.6,-2.7,85.3,1.788,100,29.17,"rain,snow",0,0,46.4,41.4,349.5,1008,72.3,10.5,,,,,2007-01-22T08:20:46,2007-01-22T16:22:17,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-23,1,-7.2,-2.3,-2.3,-10.8,-5.7,-4,88.2,0.084,100,4.17,"rain,snow",0,0,,27.7,229.6,1014.6,59.3,13.2,,,,,2007-01-23T08:19:17,2007-01-23T16:24:18,0.15,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-24,-1,-5.9,-2.6,-3.3,-11,-7.3,-4,90.3,0,0,0,,0,0,,33.9,40.1,1011.5,60.3,9.6,,,,,2007-01-24T08:17:46,2007-01-24T16:26:20,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-25,-3.1,-7.2,-4.6,-8.7,-13.1,-10.8,-7.8,78.7,0,0,0,,0,0,,32.1,358.4,1021.1,41.3,13.7,,,,,2007-01-25T08:16:13,2007-01-25T16:28:23,0.22,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-26,4.9,-3.4,1.4,-0.1,-9.1,-4.7,-0.9,85.1,0.9,100,29.17,"rain,snow",0,0,,45.5,257.9,1004.2,75.6,10.9,,,,,2007-01-26T08:14:36,2007-01-26T16:30:28,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-27,1,-4.1,-1.2,-2.9,-8.9,-5.8,-3.6,84.3,3.881,100,25,"rain,snow",0,0,,23.3,308.4,1011.6,62.7,11.9,,,,,2007-01-27T08:12:58,2007-01-27T16:32:33,0.29,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-28,6.9,-3.2,3.9,2.3,-8.4,-1.1,2.7,92,3.762,100,37.5,"rain,snow",0,0,,43.7,274.4,1002.6,87,9.3,,,,,2007-01-28T08:11:16,2007-01-28T16:34:39,0.33,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-29,5,-0.8,2.2,-0.5,-4.6,-2.6,-1.1,79.6,0,0,0,,0,0,55.4,43.9,329.5,1010.6,74.8,13.5,,,,,2007-01-29T08:09:33,2007-01-29T16:36:46,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-30,8,3.1,6.2,4.6,-1.7,2.5,4.2,86.9,1.317,100,25,rain,0,0,,28.2,288.8,1011.4,80.5,10.9,,,,,2007-01-30T08:07:47,2007-01-30T16:38:53,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-01-31,8,5,6.1,3,-0.1,1.1,4.3,88.9,4.911,100,37.5,rain,0,0,,53.6,276.2,1003.2,84.6,10.1,,,,,2007-01-31T08:05:59,2007-01-31T16:41:01,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-01,6,2.9,4.7,4.1,-1.3,1.4,2,82.9,0,0,0,,0,0,,34.7,313.6,1018.7,63.3,11.6,,,,,2007-02-01T08:04:08,2007-02-01T16:43:09,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-02,7.9,5,6.3,4.3,0.6,2.5,5.4,94,3.888,100,16.67,rain,0,0,,43.2,275.7,1018.7,84.7,6.8,,,,,2007-02-02T08:02:16,2007-02-02T16:45:18,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-03,8.9,2.2,5.8,5.8,-1,1.9,1.7,75.6,0,0,0,,0,0,42.5,34.6,315.2,1023.1,18,10.8,,,,,2007-02-03T08:00:21,2007-02-03T16:47:28,0.54,Clear,Clear conditions throughout the day.,clear-day,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-04,7,3.2,5.7,2.6,-0.9,1.5,3.7,87.6,0,0,0,,0,0,,34,282.7,1022.6,80.3,11.2,,,,,2007-02-04T07:58:25,2007-02-04T16:49:37,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-05,5,0.3,3.8,0.8,-2.8,-0.8,0.7,81.3,1.383,100,20.83,"rain,snow",0,0,,36.7,282.5,1005,61.1,13.2,,,,,2007-02-05T07:56:26,2007-02-05T16:51:47,0.6,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-06,3.7,-0.6,1.5,3.7,-3.5,-0.9,0.4,92.7,1.746,100,25,"rain,snow",0,0,,16.3,167,1000.1,71.4,11.5,,,,,2007-02-06T07:54:26,2007-02-06T16:53:58,0.64,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-07,2,0.7,1.2,0.2,-4.2,-2.4,-0.2,90.7,0.456,100,16.67,"rain,snow",0,0,,20,105.7,1001.8,84.7,11.3,,,,,2007-02-07T07:52:24,2007-02-07T16:56:08,0.67,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-08,2.9,-2.6,1.2,-1.8,-5.2,-3.4,-1.3,83.9,0.088,100,4.17,"rain,snow",0,0,,30.6,102.4,1002.1,83.9,10.8,,,,,2007-02-08T07:50:20,2007-02-08T16:58:18,0.7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-09,1,-3.1,-1,-4.7,-9.8,-7.8,-4.2,79.2,0.515,100,16.67,"rain,snow",0,0,,38,64.5,1008.4,79.9,11.1,,,,,2007-02-09T07:48:15,2007-02-09T17:00:29,0.73,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-10,-1,-3,-1.9,-6.3,-9.5,-7.7,-5.9,73.9,0,0,0,,0,0,,25.8,81.5,1016.6,67.8,13.7,,,,,2007-02-10T07:46:08,2007-02-10T17:02:39,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-11,0,-1.1,-0.6,-6.5,-8.5,-7.7,-4.1,77.5,0,0,0,,0,0,,45.3,115,1010.1,92.1,12.6,,,,,2007-02-11T07:43:59,2007-02-11T17:04:50,0.8,Overcast,Cloudy skies throughout the day.,cloudy,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-12,2,0,1.1,-2.8,-6.3,-4.4,0.2,94.1,0.106,100,12.5,"rain,snow",0,0,,29.1,108.2,997.9,99.5,4.7,,,,,2007-02-12T07:41:49,2007-02-12T17:07:00,0.83,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-13,3,2,2.6,-0.3,-3,-1.5,2,95.9,3.476,100,29.17,rain,0,0,,23.4,62.8,997.2,96.4,4.2,,,,,2007-02-13T07:39:37,2007-02-13T17:09:11,0.86,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-14,4,2,2.8,2,-1.8,0,2.4,96.8,0.242,100,4.17,rain,0,0,,23.4,120,1008.3,95.4,5.2,,,,,2007-02-14T07:37:24,2007-02-14T17:11:21,0.9,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-15,3.2,2,2.8,1.6,-2.6,-0.4,1.3,90.1,0.262,100,12.5,rain,0,0,,21.1,56.2,1019,90.8,9.7,,,,,2007-02-15T07:35:10,2007-02-15T17:13:31,0.93,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-16,4.1,2.9,3.5,0.8,-1.8,-0.8,1.3,86,0,0,0,,0,0,,35.6,145.4,1028.9,99.6,11.4,,,,,2007-02-16T07:32:54,2007-02-16T17:15:41,0.96,Overcast,Cloudy skies throughout the day.,cloudy,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-17,4.1,3,3.8,-0.2,-3.5,-1.9,0.5,79.2,0,0,0,,0,0,,44,157.3,1022.6,94.3,10.8,,,,,2007-02-17T07:30:37,2007-02-17T17:17:51,0,Overcast,Cloudy skies throughout the day.,cloudy,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-18,5.8,-0.1,3.3,3.4,-1.9,0.4,1,85.2,0,0,0,,0,0,,19.2,244.7,1011.6,86.4,8.6,,,,,2007-02-18T07:28:19,2007-02-18T17:20:00,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-19,4.8,2,3.3,3.9,-1.6,1.2,1,84.9,0,0,0,,0,0,,15.5,276.5,1012.5,96,10.7,,,,,2007-02-19T07:26:00,2007-02-19T17:22:09,0.06,Overcast,Cloudy skies throughout the day.,cloudy,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-20,5.1,1,3.2,3.9,-5.1,0.1,2.1,92.6,0.184,100,8.33,"rain,snow",0,0,,30.1,189,1012.2,90,8.3,,,,,2007-02-20T07:23:39,2007-02-20T17:24:18,0.1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-21,2,-1.4,0.1,-4.7,-9.9,-7.2,-1,93,3.899,100,33.33,"rain,snow",0,0,,48.5,111,1015.7,90,3.4,,,,,2007-02-21T07:21:18,2007-02-21T17:26:27,0.13,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-22,1.6,-1.9,-1,-5.4,-10.3,-8,-2.6,88.5,3.769,100,16.67,"rain,snow",0,0,,44.6,104,1014.5,90.1,7.2,,,,,2007-02-22T07:18:55,2007-02-22T17:28:36,0.17,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"06180099999,06174099999,06170099999"
copenhagen,2007-02-23,-1,-2.9,-1.7,-8.3,-11,-9.3,-3.5,87.8,0.008,100,4.17,"rain,snow",0,0,,44.6,118.8,1018.9,90.2,8.7,,,,,2007-02-23T07:16:32,2007-02-23T17:30:44,0.2,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,snow,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-24,1,-1,-0.5,-5.3,-9.1,-7.8,-2.4,87.2,1.054,100,16.67,"rain,snow",0,0,,45,126.9,1009.7,90,6.5,,,,,2007-02-24T07:14:07,2007-02-24T17:32:52,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-25,3,1,2.1,-1.5,-5.9,-3.7,1,92.4,1.869,100,41.67,"rain,snow",0,0,,39.1,122.2,1000,93.8,3.7,,,,,2007-02-25T07:11:42,2007-02-25T17:34:59,0.27,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-26,4.1,2.9,3.3,1.4,-1.7,0.1,2.8,96.8,3.217,100,25,rain,0,0,,21,102.8,998.2,90.6,2.3,,,,,2007-02-26T07:09:16,2007-02-26T17:37:07,0.31,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-27,3.1,0.9,2.2,0.9,-4.2,-1.7,1.4,94.3,0.341,100,12.5,"rain,snow",0,0,,22.1,285.9,1001.6,92.4,8.2,,,,,2007-02-27T07:06:49,2007-02-27T17:39:13,0.34,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-02-28,7.4,0.9,3.8,4.1,-5.5,-0.3,3.2,95.6,3.639,100,16.67,"rain,snow",0,0,,32.3,189,989.4,93.9,6.8,,,,,2007-02-28T07:04:21,2007-02-28T17:41:20,0.38,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow clearing later.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-01,7,3.1,4.9,4.8,-0.6,1.6,4.1,94.4,1.635,100,25,rain,0,0,,25.1,197.6,984.1,83.5,10.3,,,,,2007-03-01T07:01:52,2007-03-01T17:43:26,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-02,5.9,3,4.1,3.8,-1.3,1.5,3.1,93.7,0.128,100,8.33,rain,0,0,,21.9,302.2,993.3,88.9,8.8,,,,,2007-03-02T06:59:23,2007-03-02T17:45:32,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-03,5,3,3.7,4,0.6,2.2,2.5,92.2,0,0,0,,0,0,,10.6,37,1004,93.3,8.7,,,,,2007-03-03T06:56:53,2007-03-03T17:47:38,0.48,Overcast,Cloudy skies throughout the day.,cloudy,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-04,6.3,1.1,3.3,5.1,-3.6,1.2,1.8,90.2,0,0,0,,0,0,,19.6,178,1018.1,53.7,7.5,,,,,2007-03-04T06:54:22,2007-03-04T17:49:44,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-05,6.1,1.9,3.8,3.3,-3.8,-1.3,2.4,91.6,2.559,100,16.67,rain,0,0,,44.5,150.8,1014.5,85,6.5,,,,,2007-03-05T06:51:51,2007-03-05T17:51:49,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-06,6.4,3,5.2,2.5,-0.7,1.2,3.6,89.5,0.138,100,8.33,rain,0,0,,28.2,178,1009.2,88.5,11,,,,,2007-03-06T06:49:19,2007-03-06T17:53:53,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-07,7.2,5.1,6.1,5.1,0.7,2.9,5.4,95.9,4.595,100,66.67,rain,0,0,,25,171.4,1002.9,90.5,7.7,,,,,2007-03-07T06:46:47,2007-03-07T17:55:58,0.62,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-08,7,4,5.9,5,1.5,3.5,5,94,0.357,100,8.33,rain,0,0,,26.6,272.4,1011.1,81.7,5.5,,,,,2007-03-08T06:44:14,2007-03-08T17:58:02,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-09,7.1,3.1,5.2,4.1,-1,1.6,4.4,94.4,0.824,100,16.67,rain,0,0,,27.5,231.6,1019.8,81.8,7.2,,,,,2007-03-09T06:41:41,2007-03-09T18:00:06,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-10,9,2.1,5.7,5.5,-1.7,2,3.6,87,0,0,0,,0,0,,35.1,255.3,1025.7,83.7,10.6,,,,,2007-03-10T06:39:07,2007-03-10T18:02:10,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-11,14.8,6.1,9.2,14.8,2.3,6.6,6.1,81.3,0,0,0,,0,0,,34,259,1025.3,95.5,10.8,,,,,2007-03-11T06:36:33,2007-03-11T18:04:13,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-12,13.2,2.1,7.2,13.2,-0.5,5.4,4.6,84.2,0,0,0,,0,0,,18.7,215.2,1025.8,6.7,7.7,,,,,2007-03-12T06:33:58,2007-03-12T18:06:16,0.75,Clear,Clear conditions throughout the day.,clear-day,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-13,8.1,1.3,5.3,6.6,-0.8,3.8,3.9,91.1,0,0,0,,0,0,,12.8,309.8,1025.4,14.3,5.9,,,,,2007-03-13T06:31:23,2007-03-13T18:08:19,0.81,Clear,Clear conditions throughout the day.,clear-day,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-14,11.9,2.3,7.4,11.9,-0.8,5,3.5,77.5,0,0,0,,0,0,,31.8,280.3,1028.1,61.1,11.3,,,,,2007-03-14T06:28:48,2007-03-14T18:10:22,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-15,11.8,4.1,7.4,11.8,0.1,4.6,5,85,0,0,0,,0,0,,28,255.1,1024.6,80,8.6,,,,,2007-03-15T06:26:13,2007-03-15T18:12:24,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-16,10,5.9,7.6,6.9,0.8,3.9,2.4,71.2,0,0,0,,0,0,,35.7,264.5,1016,75,10.9,,,,,2007-03-16T06:23:37,2007-03-16T18:14:26,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-17,9,4,6.4,4.1,-1.4,1.3,2,74.4,2.736,100,20.83,rain,0,0,70.6,57.6,275.4,1001.5,60.5,11.7,,,,,2007-03-17T06:21:01,2007-03-17T18:16:28,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-18,8.9,4,6.5,4.5,-3,1.4,3.9,84,5.668,100,41.67,rain,0,0,,60,243.1,982.5,75.5,10.4,,,,,2007-03-18T06:18:25,2007-03-18T18:18:30,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-19,7.1,2.9,4.7,2.3,-2.8,-0.7,0.2,73.8,1.842,100,25,rain,0,0,77.8,51.2,249.5,981.9,61.5,12.2,,,,,2007-03-19T06:15:49,2007-03-19T18:20:32,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06180099999,06174099999,06170099999,02635099999"
copenhagen,2007-03-20,7,-0.1,3.9,3.1,-2.4,1,0.5,80.1,0.348,100,12.5,"rain,snow",0,0,,25,352.1,996.5,48.1,11.7,,,,,2007-03-20T06:13:12,2007-03-20T18:22:33,0.05,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"06180099999,06174099999,06170099999,02635099999"
